,team_name,year_played,wins,losses,ot_losses,win_percentage,goals_for,goals_against
0,Boston Bruins,1990,44,24,0,0.55,299,264
1,Buffalo Sabres,1990,31,30,0,0.388,292,278
2,Calgary Flames,1990,46,26,0,0.575,344,263
3,Chicago Blackhawks,1990,49,23,0,0.613,284,211
4,Detroit Red Wings,1990,34,38,0,0.425,273,298
5,Edmonton Oilers,1990,37,37,0,0.463,272,272
6,Hartford Whalers,1990,31,38,0,0.388,238,276
7,Los Angeles Kings,1990,46,24,0,0.575,340,254
8,Minnesota North Stars,1990,27,39,0,0.338,256,266
9,Montreal Canadiens,1990,39,30,0,0.487,273,249
10,New Jersey Devils,1990,32,33,0,0.4,272,264
11,New York Islanders,1990,25,45,0,0.312,223,290
12,New York Rangers,1990,36,31,0,0.45,297,265
13,Philadelphia Flyers,1990,33,37,0,0.412,252,267
14,Pittsburgh Penguins,1990,41,33,0,0.512,342,305
15,Quebec Nordiques,1990,16,50,0,0.2,236,354
16,St. Louis Blues,1990,47,22,0,0.588,310,250
17,Toronto Maple Leafs,1990,23,46,0,0.287,241,318
18,Vancouver Canucks,1990,28,43,0,0.35,243,315
19,Washington Capitals,1990,37,36,0,0.463,258,258
20,Winnipeg Jets,1990,26,43,0,0.325,260,288
21,Boston Bruins,1991,36,32,0,0.45,270,275
22,Buffalo Sabres,1991,31,37,0,0.388,289,299
23,Calgary Flames,1991,31,37,0,0.388,296,305
24,Chicago Blackhawks,1991,36,29,0,0.45,257,236
25,Detroit Red Wings,1991,43,25,0,0.537,320,256
26,Edmonton Oilers,1991,36,34,0,0.45,295,297
27,Hartford Whalers,1991,26,41,0,0.325,247,283
28,Los Angeles Kings,1991,35,31,0,0.438,287,296
29,Minnesota North Stars,1991,32,42,0,0.4,246,278
30,Montreal Canadiens,1991,41,28,0,0.512,267,207
31,New Jersey Devils,1991,38,31,0,0.475,289,259
32,New York Islanders,1991,34,35,0,0.425,291,299
33,New York Rangers,1991,50,25,0,0.625,321,246
34,Philadelphia Flyers,1991,32,37,0,0.4,252,273
35,Pittsburgh Penguins,1991,39,32,0,0.487,343,308
36,Quebec Nordiques,1991,20,48,0,0.25,255,318
37,San Jose Sharks,1991,17,58,0,0.212,219,359
38,St. Louis Blues,1991,36,33,0,0.45,279,266
39,Toronto Maple Leafs,1991,30,43,0,0.375,234,294
40,Vancouver Canucks,1991,42,26,0,0.525,285,250
41,Washington Capitals,1991,45,27,0,0.562,330,275
42,Winnipeg Jets,1991,33,32,0,0.412,251,244
43,Boston Bruins,1992,51,26,0,0.607,332,268
44,Buffalo Sabres,1992,38,36,0,0.452,335,297
45,Calgary Flames,1992,43,30,0,0.512,322,282
46,Chicago Blackhawks,1992,47,25,0,0.56,279,230
47,Detroit Red Wings,1992,47,28,0,0.56,369,280
48,Edmonton Oilers,1992,26,50,0,0.31,242,337
49,Hartford Whalers,1992,26,52,0,0.31,284,369
50,Los Angeles Kings,1992,39,35,0,0.464,338,340
51,Minnesota North Stars,1992,36,38,0,0.429,272,293
52,Montreal Canadiens,1992,48,30,0,0.571,326,280
53,New Jersey Devils,1992,40,37,0,0.476,308,299
54,New York Islanders,1992,40,37,0,0.476,335,297
55,New York Rangers,1992,34,39,0,0.405,304,308
56,Ottawa Senators,1992,10,70,0,0.119,202,395
57,Philadelphia Flyers,1992,36,37,0,0.429,319,319
58,Pittsburgh Penguins,1992,56,21,0,0.667,367,268
59,Quebec Nordiques,1992,47,27,0,0.56,351,300
60,San Jose Sharks,1992,11,71,0,0.131,218,414
61,St. Louis Blues,1992,37,36,0,0.44,282,278
62,Tampa Bay Lightning,1992,23,54,0,0.274,245,332
63,Toronto Maple Leafs,1992,44,29,0,0.524,288,241
64,Vancouver Canucks,1992,46,29,0,0.548,346,278
65,Washington Capitals,1992,43,34,0,0.512,325,286
66,Winnipeg Jets,1992,40,37,0,0.476,322,320
67,Mighty Ducks of Anaheim,1993,33,46,0,0.393,229,251
68,Boston Bruins,1993,42,29,0,0.5,289,252
69,Buffalo Sabres,1993,43,32,0,0.512,282,218
70,Calgary Flames,1993,42,29,0,0.5,302,256
71,Chicago Blackhawks,1993,39,36,0,0.464,254,240
72,Dallas Stars,1993,42,29,0,0.5,286,265
73,Detroit Red Wings,1993,46,30,0,0.548,356,275
74,Edmonton Oilers,1993,25,45,0,0.298,261,305
75,Florida Panthers,1993,33,34,0,0.393,233,233
76,Hartford Whalers,1993,27,48,0,0.321,227,288
77,Los Angeles Kings,1993,27,45,0,0.321,294,322
78,Montreal Canadiens,1993,41,29,0,0.488,283,248
79,New Jersey Devils,1993,47,25,0,0.56,306,220
80,New York Islanders,1993,36,36,0,0.429,282,264
81,New York Rangers,1993,52,24,0,0.619,299,231
82,Ottawa Senators,1993,14,61,0,0.167,201,397
83,Philadelphia Flyers,1993,35,39,0,0.417,294,314
84,Pittsburgh Penguins,1993,44,27,0,0.524,299,285
85,Quebec Nordiques,1993,34,42,0,0.405,277,292
86,San Jose Sharks,1993,33,35,0,0.393,252,265
87,St. Louis Blues,1993,40,33,0,0.476,270,283
88,Tampa Bay Lightning,1993,30,43,0,0.357,224,251
89,Toronto Maple Leafs,1993,43,29,0,0.512,280,243
90,Vancouver Canucks,1993,41,40,0,0.488,279,276
91,Washington Capitals,1993,39,35,0,0.464,277,263
92,Winnipeg Jets,1993,24,51,0,0.286,245,344
93,Mighty Ducks of Anaheim,1994,16,27,0,0.333,125,164
94,Boston Bruins,1994,27,18,0,0.562,150,127
95,Buffalo Sabres,1994,22,19,0,0.458,130,119
96,Calgary Flames,1994,24,17,0,0.5,163,135
97,Chicago Blackhawks,1994,24,19,0,0.5,156,115
98,Dallas Stars,1994,17,23,0,0.354,136,135
99,Detroit Red Wings,1994,33,11,0,0.688,180,117
100,Edmonton Oilers,1994,17,27,0,0.354,136,183
